to ring the bell;aanbellen
to point out, indicate;aanduiden
to start (a relationship);aangaan
opening words, the;aanhef, de
to knock;aankloppen
finish, the;aankomstplaats, de
to touch;aanraken
kitchen counter, the;aanrecht, het
to tighten;aanspannen
to encourage;aansporen
number, the;aantal, het
appealing;aantrekkelijk
present;aanwezig
mashed potatoes, the;aardappelpuree, de
season ticket, the;abonnement, het
active, actively;actief
to pour off;afgieten
to depend on;afhangen van
aversion to, the;afkeer, de
to turn (right/left);(rechts/links) afslaan
closing words, the;afsluiting, de
date, the;afspraakje, het
distance, the;afstand, de
dishes, the;afwas, de
already;al
general;algemeen
alone;alleen
allergic;allergisch
alternative;alternatief
aluminium, the;aluminium, het
the other way around;andersom
antique;antiek
appel sauce, the;appelmoes, de
arm, the;arm, de
poverty, the;armoede, de
athlete, the;atleet, de
automatically;automatisch
highway, the;autosnelweg, de
highway, the;autoweg, de
vinegar, the;azijn, de
boss, the;baas, de
bathtub, the;bad, het
ball, the;bal, de
afraid, scared;bang
sofa and chairs, the;bankstel, het
bartender, the;barman, de
to thank;bedanken
leg, the;been, het
cooked but still crunchy;beetgaar
quite;behoorlijk
both;beide
to influence;beïnvloeden
to look at;bekijken
to climb;beklimmen
ridiculous;belachelijk
promise, the;belofte, de
name, the;benaming, de
to name;benoemen
to practise, to play;beoefenen
to judge;beoordelen
judgement, the;beoordeling, de
particular;bepaald
to achieve;bereiken
to damage;beschadigen
to protect;beschermen
to consider;beschouwen
to decide;beslissen
decision, the;beslissing, de
to consist of;bestaan uit
dear;beste
to spend (time);besteden
silverware, the;bestek, het
to sprinkle;bestrooien
driver, the;bestuurder, de
get well;beterschap
concrete, the;beton, het
population, the;bevolking, de
to move;bewegen
movement, the;beweging, de
cloudy;bewolkt
sight, the;bezienswaardigheid, de
to be doing something;bezig zijn
activity, the;bezigheid, de
in advance;bij voorbaat
special;bijzonder
to enter;binnenkomen
inland;binnenland, het
bitter;bitter
happy;blij
to seem, to appear;blijken
to bleed;bloeden
prime, the;bloei, de
flower, the;bloem, de
to blush;blozen
curve, the;bocht, de
bookcase, the;boekenkast, de
farm, the;boerderij, de
to burp;boeren
angry;boos
traffic sign, the;bord, het
plate, the;bord, het
deposit pass, the;borgpasje, het
breast, the;borst, de
do-it-yourself shop, the;bouwmarkt, de
above;boven
to roast;braden
to break;breken
motorbike, the;bromfiets, de
shower, downpour, the;bui, de
to bow;buigen
belly, the;buik, de
tummy flu, the;buikgriep, de
stomach ache, the;buikpijn, de
foreign;buitenlands
office chair, the;bureaustoel, de
girl next door, the;buurmeisje, het
gift, the;cadeau, het
bar, the;café, het
fair, the;carnaval, het
career, the;carrière, de
digit, the;cijfer, het
approximately;circa
lemon, the;citroen, de
colleague, the;collega, de
comfortable;comfortabel
compliment, the;compliment, het
condition, shape, the;conditie, de
contrast, the;contrast, het
inspector, the;controleur, de
culinary;culinair
course, the;cursus, de
consequently;daardoor
daily;dagelijks
roof terrace, the;dakterras, het
lady, the;dame, de
thanks;dank, de
thanks to;dankzij
part, the;deel, het
to take part;deelnemen
final, forever;definitief
quilt cover, the;dekbedovertrek, het
blanket, the;deken, de
door, the;deur, de
diagnosis, the;diagnose, de
to close;dichtdoen
depth, the;diepte, de
dike, the;dijk, de
directness, the;directheid, de
medic, doctor, the;dokter, de
by;door
to spend (time);doorbrengen
to proceed, to continue;doorgaan
to pass by, pass through;doorlopen
to swallow;doorslikken
average;doorsnee
to persevere;doorzetten
village, the;dorp, het
thirst, the;dorst, de
dosage, the;dosering, de
dose, the;dosis, de
shower, the;douche, de
to turn;draaien
drunk;dronken
dry;droog
dream, the;droom, de
clear;duidelijk
thumb, the;duim, de
dizzy;duizelig
to dare;durven
so, thus, therefore;dus
one-time only;eenmalig
one-way road, the;eenrichtingsweg, de
once;eens
in agreement;eens
honesty, the;eerlijkheid, de
dining room, the;eetkamer, de
tablespoon, the;eetlepel, de
dining table, the;eettafel, de
century, the;eeuw, de
efficiency, the;efficiëntie, de
ego, the;ego, het
owner, the;eigenaar, de
self-willed, obstinate;eigenwijs
island, the;eiland, het
end, the;eind, het
each other;elkaar
elbow, the;elleboog, de
misery, the;ellende, de
emotion, the;emotie, de
energy, the;energie, de
ankle, the;enkel, de
single match, the;enkelpartij, de
enormous;enorm
enthusiastic;enthousiast
admission, the;entreeprijs, de
to acknowledge;erkennen
acknowledgement, the;erkenning, de
severe;ernstig
eater, the;eter, de
event, the;evenement, het
ex, the;ex, de
to fantasize;fantaseren
armchair, the;fauteuil, de
public holiday, the;feestdag, de
fact, the;feit, het
congratulations, the;felicitatie, de
cyclist, the;fietser, de
bicycle path, the;fietspad, het
figure, the;figuur, het
bland, silly;flauw
nonsense, the;flauwekul, de
to faint;flauwvallen
folder, the;folder, de
formal;formeel
fresh;fris
physical therapist, the;fysiotherapeut, de
well-done;gaar
gas, the;gas, het
guest, the;gast, de
hole, the;gat, het
dear;geachte
area, the;gebied, het
building, the;gebouw, het
to use;gebruiken
fuss, the;gedoe, het
not a single;geen enkel
handicapped;gehandicapt
completely;geheel
crazy;gek
valid;geldig
to be right;gelijk hebben
to believe;geloven
sound, the;geluid, het
temperate;gematigd
municipality, the;gemeente, de
average;gemiddeld
average, the;gemiddelde, het
medication, the;geneesmiddel, het
enough;genoeg
dish, the;gerecht, het
registered partnership, the;geregistreerd partnerschap, het
to reassure;geruststellen
sex, the;geslacht, het
closed;gesloten
dangerous;gevaarlijk
feeling, the;gevoel, het
followed by;gevolgd door
terrific, great;geweldig
collective, joint;gezamenlijk
company, the;gezelschap, het
face, the;gezicht, het
health, the;gezondheid, de
guide, the;gids, de
glass, the;glas, het
to smile;glimlachen
degree, the;graad, de
joke, the;grapje, het
flu, the;griep, de
influenza shot, the;griepprik, de
to grow;groeien
salutation, the;groet, de
regards;groetjes, de
rude;grof
sneaker, the;gymschoen, de
to hail;hagelen
hall, the;hal, de
to fetch;halen
throat, the;hals, de
ham, the;ham, de
hand, the;hand, de
towel, the;handdoek, de
bite, the;hapje, het
heart fluttering, the;hartklopping, de
very;hartstikke
to stitch;hechten
Sir;heer
(gentle)man, the;heer, de
hot;heet
Ascension Day;Hemelvaartsdag, de
to remember;herinneren (zich -)
origins, the;herkomst, de
it is an 'item';het is aan
the same;hetzelfde
hill, the;heuvel, de
